Name,Year,Innings,Overs,Runs,Wickets,Econ,Avg,SR,5W,BBI,Team,Category
AMIT MISHRA,2008,6,19.5,138,11,6.96,12.5,10.8,1,5/17,Delhi Capitals,BOWLER
AMIT MISHRA,2009,15,58.1,420,18,7.22,23.3,19.4,0,3/14,Delhi Capitals,BOWLER
AMIT MISHRA,2010,14,53,363,17,6.85,21.4,18.7,0,3/25,Delhi Capitals,BOWLER
AMIT MISHRA,2011,14,53.2,358,19,6.71,18.8,16.8,0,4/9,Delhi Capitals,BOWLER
AMIT MISHRA,2012,14,47,377,13,8.02,29,21.7,0,3/1,Delhi Capitals,BOWLER
AMIT MISHRA,2013,23,78,499,23,6.4,21.7,20.3,0,4/19,Delhi Capitals,BOWLER
AMIT MISHRA,2014,10,37.3,340,7,9.07,48.6,32.1,0,2/23,Delhi Capitals,BOWLER
AMIT MISHRA,2015,12,40.1,310,9,7.72,34.4,26.8,0,2/1,Delhi Capitals,BOWLER
AMIT MISHRA,2016,14,46,344,13,7.48,26.5,21.2,0,4/11,Delhi Capitals,BOWLER
AMIT MISHRA,2017,14,38.5,343,10,8.83,34.3,23.3,0,3/11,Delhi Capitals,BOWLER
AMIT MISHRA,2018,10,37,264,12,7.14,22,18.5,0,3/19,Delhi Capitals,BOWLER
AMIT MISHRA,2019,11,40,270,11,6.75,24.5,21.8,0,3/17,Delhi Capitals,BOWLER
AMIT MISHRA,2020,3,10,72,3,7.2,24,20,0,2/1,Delhi Capitals,BOWLER
ANRICH NORTJE,2018,3,12,83,8,6.92,10.4,9,0,4/1,Delhi Capitals,BOWLER
ANRICH NORTJE,2019,7,26.2,228,6,8.66,38,26.3,0,3/31,Delhi Capitals,BOWLER
ANRICH NORTJE,2020,16,61,512,22,8.39,23.3,16.6,0,3/1,Delhi Capitals,BOWLER
AVESH KHAN,2017,1,4,23,1,5.75,23,24,0,1/23,Delhi Capitals,BOWLER
AVESH KHAN,2018,6,19,204,4,10.74,51,28.5,0,2/1,Delhi Capitals,BOWLER
AVESH KHAN,2019,1,3,30,0,10,NA,NA,0,0/30,Delhi Capitals,BOWLER
AVESH KHAN,2020,1,4,42,0,10.5,NA,NA,0,0/42,Delhi Capitals,BOWLER
AVESH KHAN,2021,4,16,101,13,6.31,7.8,7.4,1,5/17,Delhi Capitals,BOWLER
ISHANT SHARMA,2008,13,43.1,331,8,7.67,41.4,32.4,0,2/9,Delhi Capitals,BOWLER
ISHANT SHARMA,2009,11,43,297,11,6.91,27,23.5,0,2/15,Delhi Capitals,BOWLER
ISHANT SHARMA,2010,7,25,236,7,9.44,33.7,21.4,0,2/1,Delhi Capitals,BOWLER
ISHANT SHARMA,2011,12,44,314,11,7.14,28.5,24,1,5/12,Delhi Capitals,BOWLER
ISHANT SHARMA,2013,22,82.4,660,21,7.98,31.4,23.6,0,3/27,Delhi Capitals,BOWLER
ISHANT SHARMA,2014,3,11,101,3,9.18,33.7,22,0,2/1,Delhi Capitals,BOWLER
ISHANT SHARMA,2015,4,14,159,1,11.36,159,84,0,1/25,Delhi Capitals,BOWLER
ISHANT SHARMA,2016,4,15,148,3,9.87,49.3,30,0,2/1,Delhi Capitals,BOWLER
ISHANT SHARMA,2017,6,18,179,0,9.94,NA,NA,0,0/12,Delhi Capitals,BOWLER
ISHANT SHARMA,2019,13,46,349,13,7.59,26.8,21.2,0,3/1,Delhi Capitals,BOWLER
ISHANT SHARMA,2020,1,3,26,0,8.67,NA,NA,0,0/26,Delhi Capitals,BOWLER
ISHANT SHARMA,2021,4,14.1,114,5,8.05,22.8,17,0,2/16,Delhi Capitals,BOWLER
KAGISO RABADA,2016,6,24,162,6,6.75,27,24,0,2/1,Delhi Capitals,BOWLER
KAGISO RABADA,2017,6,21.2,188,6,8.81,31.3,21.3,0,2/20,Delhi Capitals,BOWLER
KAGISO RABADA,2018,9,35.3,239,13,6.73,18.4,16.4,0,4/27,Delhi Capitals,BOWLER
KAGISO RABADA,2019,19,73.1,586,33,8.01,17.8,13.3,0,4/21,Delhi Capitals,BOWLER
KAGISO RABADA,2020,17,65.4,547,30,8.33,18.2,13.1,0,4/24,Delhi Capitals,BOWLER
TOM CURRAN,2014,8,25,193,9,7.72,21.4,16.7,0,3/23,Delhi Capitals,BOWLER
TOM CURRAN,2015,11,43.4,402,14,9.21,28.7,18.7,0,4/1,Delhi Capitals,BOWLER
TOM CURRAN,2016,13,41.5,325,8,7.77,40.6,31.4,0,3/21,Delhi Capitals,BOWLER
TOM CURRAN,2017,10,36,281,12,7.81,23.4,18,0,3/28,Delhi Capitals,BOWLER
TOM CURRAN,2018,17,51.1,486,24,9.5,20.2,12.8,0,3/18,Delhi Capitals,BOWLER
TOM CURRAN,2019,31,110.5,964,44,8.7,21.9,15.1,0,3/3,Delhi Capitals,BOWLER
TOM CURRAN,2020,13,46.2,471,17,10.17,27.7,16.4,0,4/22,Delhi Capitals,BOWLER
UMESH YADAV,2010,7,24,184,6,7.67,30.7,24,0,2/24,Delhi Capitals,BOWLER
UMESH YADAV,2011,6,18,169,2,9.39,84.5,54,0,2/1,Delhi Capitals,BOWLER
UMESH YADAV,2012,20,73,510,23,6.99,22.2,19,0,3/19,Delhi Capitals,BOWLER
UMESH YADAV,2013,16,57.5,508,16,8.78,31.8,21.7,0,4/24,Delhi Capitals,BOWLER
UMESH YADAV,2014,13,49,410,11,8.37,37.3,26.7,0,3/13,Delhi Capitals,BOWLER
UMESH YADAV,2015,12,42,382,10,9.1,38.2,25.2,0,3/1,Delhi Capitals,BOWLER
UMESH YADAV,2016,9,26,234,10,9,23.4,15.6,0,3/28,Delhi Capitals,BOWLER
UMESH YADAV,2017,14,48.3,410,17,8.45,24.1,17.1,0,4/1,Delhi Capitals,BOWLER
UMESH YADAV,2018,14,53.1,418,20,7.86,20.9,16,0,3/23,Delhi Capitals,BOWLER
UMESH YADAV,2019,11,37.5,371,8,9.81,46.4,28.4,0,3/1,Delhi Capitals,BOWLER
UMESH YADAV,2020,2,7,83,0,11.86,NA,NA,0,0/35,Delhi Capitals,BOWLER
AXAR PATEL,2014,22,86,528,25,6.14,21.1,20.6,0,3/15,Delhi Capitals,ALL ROUNDER
AXAR PATEL,2015,14,46.4,392,13,8.4,30.2,21.5,0,2/11,Delhi Capitals,ALL ROUNDER
AXAR PATEL,2016,14,47.5,388,13,8.11,29.8,22.1,0,4/21,Delhi Capitals,ALL ROUNDER
AXAR PATEL,2017,14,48,362,15,7.54,24.1,19.2,0,3/11,Delhi Capitals,ALL ROUNDER
AXAR PATEL,2018,8,26,218,3,8.38,72.7,52,0,1/21,Delhi Capitals,ALL ROUNDER
AXAR PATEL,2019,14,51,364,10,7.14,36.4,30.6,0,2/22,Delhi Capitals,ALL ROUNDER
AXAR PATEL,2020,15,51,327,9,6.41,36.3,34,0,2/18,Delhi Capitals,ALL ROUNDER
CHRIS WOAKES,2013,12,39.2,295,12,7.5,24.6,19.7,0,3/28,Delhi Capitals,ALL ROUNDER
CHRIS WOAKES,2014,6,23,198,8,8.61,24.8,17.2,0,2/1,Delhi Capitals,ALL ROUNDER
CHRIS WOAKES,2015,2,7,47,1,6.71,47,42,0,1/22,Delhi Capitals,ALL ROUNDER
CHRIS WOAKES,2016,4,13,89,4,6.85,22.2,19.5,0,3/25,Delhi Capitals,ALL ROUNDER
CHRIS WOAKES,2017,15,51.4,455,23,8.81,19.8,13.5,0,3/6,Delhi Capitals,ALL ROUNDER
CHRIS WOAKES,2018,9,33.5,340,12,10.05,28.3,16.9,0,3/1,Delhi Capitals,ALL ROUNDER
MARCUS STOINIS,2014,3,5,42,2,8.4,21,15,0,2/12,Delhi Capitals,ALL ROUNDER
MARCUS STOINIS,2016,15,39,309,17,7.92,18.2,13.8,0,4/15,Delhi Capitals,ALL ROUNDER
MARCUS STOINIS,2017,13,34.3,307,9,8.9,34.1,23,0,3/1,Delhi Capitals,ALL ROUNDER
MARCUS STOINIS,2018,15,35.5,369,8,10.3,46.1,26.9,0,4/17,Delhi Capitals,ALL ROUNDER
MARCUS STOINIS,2019,15,41.4,345,16,8.28,21.6,15.6,0,4/21,Delhi Capitals,ALL ROUNDER
MARCUS STOINIS,2020,15,31.4,307,14,9.69,21.9,13.6,0,3/26,Delhi Capitals,ALL ROUNDER
MARCUS STOINIS,2021,3,6,46,2,7.67,23,18,0,1/16,Delhi Capitals,ALL ROUNDER
RAVICHANDRAN ASHWIN,2009,1,4,13,2,3.25,6.5,12,0,2/13,Delhi Capitals,ALL ROUNDER
RAVICHANDRAN ASHWIN,2010,18,71.2,445,26,6.24,17.1,16.5,0,4/18,Delhi Capitals,ALL ROUNDER
RAVICHANDRAN ASHWIN,2011,20,79,494,25,6.25,19.8,19,0,3/16,Delhi Capitals,ALL ROUNDER
RAVICHANDRAN ASHWIN,2012,22,80.5,574,17,7.1,33.8,28.5,0,3/23,Delhi Capitals,ALL ROUNDER
RAVICHANDRAN ASHWIN,2013,23,75,508,19,6.77,26.7,23.7,0,2/18,Delhi Capitals,ALL ROUNDER
RAVICHANDRAN ASHWIN,2014,21,77.5,583,21,7.49,27.8,22.2,0,3/20,Delhi Capitals,ALL ROUNDER
RAVICHANDRAN ASHWIN,2015,13,39,228,10,5.85,22.8,23.4,0,2/5,Delhi Capitals,ALL ROUNDER
RAVICHANDRAN ASHWIN,2016,14,44,319,10,7.25,31.9,26.4,0,4/1,Delhi Capitals,ALL ROUNDER
RAVICHANDRAN ASHWIN,2018,14,50.4,410,10,8.09,41,30.4,0,2/18,Delhi Capitals,ALL ROUNDER
RAVICHANDRAN ASHWIN,2019,14,55,400,15,7.27,26.7,22,0,3/23,Delhi Capitals,ALL ROUNDER
RAVICHANDRAN ASHWIN,2020,15,51,391,13,7.67,30.1,23.5,0,3/29,Delhi Capitals,ALL ROUNDER
MOHAMMED SHAMI,2011,1,1,10,0,10,NA,NA,0,0/10,Punjab Kings,BOWLER
MOHAMMED SHAMI,2013,3,9,78,1,8.67,78,54,0,1/1,Punjab Kings,BOWLER
MOHAMMED SHAMI,2014,12,44,369,7,8.39,52.7,37.7,0,1/22,Punjab Kings,BOWLER
MOHAMMED SHAMI,2016,8,25.1,244,5,9.7,48.8,30.2,0,2/1,Punjab Kings,BOWLER
MOHAMMED SHAMI,2017,8,26,243,5,9.35,48.6,31.2,0,2/1,Punjab Kings,BOWLER
MOHAMMED SHAMI,2018,4,13.5,144,3,10.41,48,27.7,0,1/29,Punjab Kings,BOWLER
MOHAMMED SHAMI,2019,14,54,469,19,8.69,24.7,17.1,0,3/21,Punjab Kings,BOWLER
MOHAMMED SHAMI,2020,14,53.4,460,20,8.57,23,16.1,0,3/15,Punjab Kings,BOWLER
ARSHDEEP SINGH,2019,3,10,109,3,10.9,36.3,20,0,2/1,Punjab Kings,BOWLER
ARSHDEEP SINGH,2020,8,24.5,218,9,8.78,24.2,16.6,0,3/23,Punjab Kings,BOWLER
ARSHDEEP SINGH,2021,2,7,53,2,7.57,26.5,21,0,2/16,Punjab Kings,BOWLER
CHRIS JORDAN,2013,7,23.5,201,8,8.43,25.1,17.9,0,2/28,Punjab Kings,BOWLER
CHRIS JORDAN,2014,3,11,94,3,8.55,31.3,22,0,1/25,Punjab Kings,BOWLER
CHRIS JORDAN,2015,3,11,123,1,11.18,123,66,0,1/1,Punjab Kings,BOWLER
CHRIS JORDAN,2016,21,68.2,582,29,8.52,20.1,14.1,0,4/11,Punjab Kings,BOWLER
CHRIS JORDAN,2017,26,85.1,656,30,7.7,21.9,17,0,3/17,Punjab Kings,BOWLER
CHRIS JORDAN,2018,22,74.5,586,21,7.83,27.9,21.4,0,2/9,Punjab Kings,BOWLER
CHRIS JORDAN,2019,29,103.3,918,34,8.87,27,18.3,0,3/26,Punjab Kings,BOWLER
CHRIS JORDAN,2020,29,99.3,878,28,8.82,31.4,21.3,0,3/17,Punjab Kings,BOWLER
RILEY MEREDITH,2018,6,21,177,7,8.43,25.3,18,0,3/15,Punjab Kings,BOWLER
RILEY MEREDITH,2019,13,48.4,392,18,8.05,21.8,16.2,0,4/21,Punjab Kings,BOWLER
RILEY MEREDITH,2020,8,29,218,12,7.52,18.2,14.5,0,3/21,Punjab Kings,BOWLER
RILEY MEREDITH,2021,7,27.2,228,6,8.34,38,27.3,0,3/22,Punjab Kings,BOWLER
